feature,pearson,gra,综合评分
5天累积雨量,0.2778661734640107,0.6983879304996757,0.48812705198184325
7天累积雨量,0.2630852709173781,0.6875930090982484,0.47533914000781324
5天平均相对湿度,0.3711840199437431,0.5713992726651097,0.47129164630442644
10天累积雨量,0.26051300024332674,0.6707666533305813,0.46563982678695404
当天雨量,0.20501753005373533,0.7235975731425173,0.4643075515981263
5天累积日照时数,-0.32453351789108986,0.558917871754934,0.44172569482301194
3天平均相对湿度,0.3115190128294501,0.5617674046680213,0.43664320874873574
10天平均相对湿度,0.30929514307840195,0.5635658574133356,0.4364305002458688
3天累积雨量,0.16581333875160734,0.6976788969738307,0.431746117862719
5天累积降雨时数,0.22023205411391775,0.6379124879351951,0.4290722710245564
7天平均相对湿度,0.2857285445997879,0.5584953229649261,0.422111933782357
3天累积日照时数,-0.2489518514747264,0.5802862349390002,0.4146190432068633
3天累积降雨时数,0.15065303532587646,0.6639380479048107,0.4072955416153436
7天累积日照时数,-0.26283161069689576,0.5452514191278768,0.40404151491238627
10天累积降雨时数,0.16771107244922662,0.6222079289414097,0.39495950069531816
7天累积降雨时数,0.14508746704276287,0.6319903661509947,0.3885389165968788
10天累积日照时数,-0.19037493836513925,0.5330789271157238,0.36172693274043155
当天相对湿度,0.14244732255037743,0.5514070200815465,0.34692717131596196
当天日照时数,-0.048855569984440246,0.6334298489684509,0.3411427094764456
当天降雨时数,-0.01815746359532667,0.6556778755340295,0.33691766956467806
10天平均气温,0.10406213516165144,0.5328801121382206,0.318471123649936
7天平均气温,0.08190069093945433,0.5313090588748762,0.30660487490716526
当天平均气温,0.03820220400596984,0.5245635782152444,0.2813828911106071
3天平均气温,-0.03835695799077035,0.5056721700916085,0.2720145640411894
5天平均气温,0.0015435562766815865,0.5079906332868847,0.2547670947817831
