feature,pearson,gra,综合评分
5天累积雨量,0.2650488641465573,0.689067367745808,0.47705811594618264
5天平均相对湿度,0.3573595557411113,0.5709722783944421,0.46416591706777666
7天累积雨量,0.2468300761147669,0.6789850653484689,0.4629075707316179
10天累积雨量,0.2495483665043075,0.6618182103705131,0.45568328843741035
当天雨量,0.17596599497689352,0.7139412385630209,0.44495361676995726
10天平均相对湿度,0.30612326168159787,0.5624878542272724,0.43430555795443515
5天累积日照时数,-0.31052914886138894,0.5540364302480127,0.43228278955470084
3天平均相对湿度,0.29890419099277377,0.5603861523640772,0.4296451716784255
3天累积雨量,0.15020532909218742,0.6883465557536367,0.41927594242291205
7天平均相对湿度,0.2797434272896896,0.5585598079694745,0.41915161762958203
3天累积日照时数,-0.24465765204541529,0.5732038541967024,0.40893075312105887
5天累积降雨时数,0.18691281374087054,0.6261265368233219,0.4065196752820962
7天累积日照时数,-0.25591155712836566,0.5403005937542827,0.3981060754413242
3天累积降雨时数,0.12356679029974722,0.6523944157574665,0.3879806030286069
10天累积降雨时数,0.14434261366398257,0.6133201261092212,0.3788313698866019
7天累积降雨时数,0.11891140857984352,0.622890686832335,0.3709010477060892
10天累积日照时数,-0.19132873290701657,0.5291309181582541,0.36022982553263533
当天降雨时数,-0.04838703662682417,0.6474843031375016,0.3479356698821629
当天日照时数,-0.05386557564514926,0.6232875213165727,0.338576548480861
10天平均气温,0.1310489637343319,0.5369720127394803,0.33401048823690604
当天相对湿度,0.1168841449766817,0.5486276853115739,0.33275591514412783
7天平均气温,0.10962451144441916,0.5357329798589817,0.32267874565170046
当天平均气温,0.07796375260455707,0.5326502345961198,0.3053069936003384
5天平均气温,0.035503694287945704,0.5145074326383048,0.27500556346312527
3天平均气温,-0.005351012498434112,0.5106751568858037,0.25801308469211887
