feature,pearson,gra
5天平均相对湿度,0.35735955574111133,0.5709722783944422
5天累积日照时数,-0.310529148861389,0.5540364302480129
10天平均相对湿度,0.30612326168159815,0.5624878542272724
3天平均相对湿度,0.2989041909927736,0.5603861523640772
7天平均相对湿度,0.2797434272896896,0.5585598079694745
7天累积日照时数,-0.25591155712836583,0.5403005937542827
3天累积日照时数,-0.24465765204541529,0.5732038541967025
10天累积日照时数,-0.19132873290701657,0.529130918158254
5天累积降雨时数,0.18691281374087051,0.6261265368233219
10天累积降雨时数,0.14434261366398252,0.6133201261092212
3天累积降雨时数,0.12356679029974722,0.6523944157574665
7天累积降雨时数,0.11891140857984352,0.622890686832335
当天相对湿度,0.1168841449766817,0.5486276853115738
当天日照时数,-0.05386557564514926,0.6232875213165727
当天降雨时数,-0.048387036626824205,0.6474843031375016
