feature,pearson,gra,综合评分
3天累积日照时数,0.2964526412850273,0.6919883407807734,0.49422049103290033
当天日照时数,0.2575840931589109,0.7198180404964168,0.4887010668276639
7天平均相对湿度,-0.3448644860434974,0.6242513556406447,0.48455792084207105
5天平均相对湿度,-0.3903780947317786,0.5740482672198735,0.482213180975826
5天累积日照时数,0.2848430701037112,0.6440007131309435,0.4644218916173274
3天平均相对湿度,-0.37334466562525837,0.5403711715227537,0.45685791857400604
3天累积雨量,-0.20462826367825013,0.6992309872514672,0.45192962546485865
7天累积日照时数,0.262688273950511,0.5990772637831936,0.4308827688668523
5天累积雨量,-0.1691238420527366,0.6836499747196895,0.426386908386213
当天雨量,-0.10445857813887076,0.7405841809087617,0.4225213795238162
当天相对湿度,-0.36379115013501667,0.45741400391492165,0.41060257702496916
10天累积日照时数,0.2284630189979775,0.5900957152206927,0.4092793671093351
3天累积降雨时数,-0.17514888071720597,0.6361417347410062,0.4056453077291061
7天累积雨量,-0.12594316561658178,0.6841569079654044,0.4050500367909931
5天累积降雨时数,-0.1863018137507793,0.6131882823245671,0.3997450480376732
10天累积降雨时数,-0.18125704049289987,0.594450996488102,0.38785401849050094
10天平均相对湿度,-0.2996964429746334,0.47591765837819255,0.38780705067641297
7天累积降雨时数,-0.16108785529928776,0.612143417205433,0.3866156362523604
当天降雨时数,-0.05902492084260421,0.6980003161419724,0.37851261849228834
10天累积雨量,-0.08400559346836314,0.657743559659852,0.37087457656410755
3天平均气温,-0.06381204399183205,0.6042657904794799,0.334038917235656
7天平均气温,-0.1180765636052004,0.517283025225181,0.3176797944151907
5天平均气温,-0.10706374644312215,0.5152125204745837,0.3111381334588529
当天平均气温,-0.05679452778183054,0.499125665335436,0.2779600965586333
10天平均气温,-0.0481296307801386,0.5058477535574251,0.27698869216878186
