feature,pearson,gra,综合评分
7天累积降雨时数,0.5276969403058911,0.7055481263282285,0.6166225333170599
10天累积降雨时数,0.5567696621669127,0.6568485415672374,0.606809101867075
5天累积降雨时数,0.48637828741891614,0.7172140825233566,0.6017961849711364
3天累积降雨时数,0.409617789490815,0.7424783952569964,0.5760480923739058
当天降雨时数,0.3293340618714602,0.7769886699942102,0.5531613659328352
3天累积雨量,0.2852102130062417,0.7901445624571829,0.5376773877317123
10天累积日照时数,-0.4604242962628745,0.6021928811588922,0.5313085887108834
7天累积日照时数,-0.37215052957284406,0.6542050824989748,0.5131778060359095
10天平均相对湿度,0.4537245186213411,0.544102340907398,0.49891342976436953
当天雨量,0.18172244570882473,0.8103273466918132,0.496024896200319
5天累积雨量,0.22248570518135274,0.760618615011489,0.4915521600964209
10天累积雨量,0.2478565228649897,0.7249381166399403,0.48639731975246503
7天累积雨量,0.21491837112755005,0.7534858158845695,0.4842020935060598
5天累积日照时数,-0.31332308019162597,0.624442806873859,0.4688829435327425
3天累积日照时数,-0.26704960241987497,0.6386010507710472,0.4528253265954611
7天平均相对湿度,0.3752045225325717,0.5155639118815428,0.44538421720705723
当天日照时数,-0.222989758793008,0.6647513794224034,0.44387056910770567
当天平均气温,-0.35639808493325936,0.49210117243902995,0.4242496286861447
10天平均气温,-0.18161828141098268,0.6433655613064689,0.4124919213587258
5天平均相对湿度,0.30358482978776086,0.5084629319077393,0.4060238808477501
3天平均气温,-0.2875961948590728,0.46224202839767103,0.3749191116283719
3天平均相对湿度,0.24139972490182487,0.5061245816313842,0.37376215326660456
当天相对湿度,0.197935007808581,0.5109952981808815,0.35446515299473125
5天平均气温,-0.21497202789507633,0.457988170076702,0.33648009898588915
7天平均气温,-0.18363320261868826,0.4837580518675236,0.3336956272431059
