feature,pearson,gra,综合评分
7天累积降雨时数,0.5487056912941912,0.7104671510810755,0.6295864211876334
10天累积降雨时数,0.5722304488780697,0.6629440526654484,0.617587250771759
5天累积降雨时数,0.4919011542685149,0.7215680988031313,0.6067346265358231
3天累积降雨时数,0.41694527663439246,0.7475753430018416,0.582260309818117
当天降雨时数,0.3564016286925103,0.776503913565317,0.5664527711289137
10天累积日照时数,-0.5290619916849945,0.600301761566042,0.5646818766255182
3天累积雨量,0.31086824373230376,0.7963107426937179,0.5535894932130109
7天累积日照时数,-0.44690678360925157,0.6541618077825211,0.5505342956958863
当天雨量,0.20463953252016032,0.8120341554695938,0.508336843994877
5天累积雨量,0.24850459851514706,0.7674883778598779,0.5079964881875125
10天平均相对湿度,0.4660909764629423,0.5471570683876389,0.5066240224252906
10天累积雨量,0.2715779498918909,0.7321258101956784,0.5018518800437846
7天累积雨量,0.24340894030064303,0.7591603902027624,0.5012846652517027
5天累积日照时数,-0.359352705719017,0.6262964868586972,0.4928245962888571
3天累积日照时数,-0.32221678452306524,0.6408032839613893,0.48151003424222727
当天日照时数,-0.2808842245475902,0.6670800005961826,0.4739821125718864
7天平均相对湿度,0.392607144083911,0.5175295444428047,0.45506834426335785
当天平均气温,-0.4153905758126089,0.4901759806221062,0.45278327821735753
10天平均气温,-0.23260768819324143,0.6434661375111855,0.43803691285221347
5天平均相对湿度,0.309230570203896,0.5087668395122141,0.40899870485805506
3天平均气温,-0.33703750730476667,0.46047910002062653,0.3987583036626966
3天平均相对湿度,0.24865663301911842,0.5067630762846969,0.37770985465190765
7天平均气温,-0.23383401950048072,0.4824589488369488,0.35814648416871475
当天相对湿度,0.2005218088592416,0.5105600665034246,0.3555409376813331
5天平均气温,-0.25453598341851813,0.4560231113084731,0.35527954736349565
