feature,pearson,gra
10天累积降雨时数,0.5567696621669125,0.6568485415672373
7天累积降雨时数,0.5276969403058909,0.7055481263282285
5天累积降雨时数,0.48637828741891614,0.7172140825233566
10天累积日照时数,-0.4604242962628745,0.6021928811588924
10天平均相对湿度,0.45372451862134133,0.544102340907398
3天累积降雨时数,0.409617789490815,0.7424783952569963
7天平均相对湿度,0.3752045225325718,0.5155639118815428
7天累积日照时数,-0.372150529572844,0.6542050824989748
当天降雨时数,0.32933406187146025,0.7769886699942102
5天累积日照时数,-0.31332308019162597,0.6244428068738589
5天平均相对湿度,0.3035848297877607,0.5084629319077393
3天累积日照时数,-0.26704960241987497,0.6386010507710472
3天平均相对湿度,0.24139972490182485,0.5061245816313842
当天日照时数,-0.222989758793008,0.6647513794224034
当天相对湿度,0.197935007808581,0.5109952981808815
