feature,pearson,gra
5天平均相对湿度,-0.3903780947317785,0.5740482672198735
3天平均相对湿度,-0.3733446656252584,0.5403711715227538
当天相对湿度,-0.36379115013501667,0.45741400391492176
7天平均相对湿度,-0.3448644860434976,0.6242513556406447
10天平均相对湿度,-0.2996964429746334,0.47591765837819255
3天累积日照时数,0.29645264128502735,0.6919883407807735
5天累积日照时数,0.28484307010371124,0.6440007131309435
7天累积日照时数,0.26268827395051114,0.5990772637831936
当天日照时数,0.25758409315891084,0.7198180404964168
10天累积日照时数,0.2284630189979775,0.5900957152206926
5天累积降雨时数,-0.18630181375077925,0.6131882823245671
10天累积降雨时数,-0.18125704049289987,0.594450996488102
3天累积降雨时数,-0.175148880717206,0.6361417347410062
7天累积降雨时数,-0.1610878552992877,0.612143417205433
当天降雨时数,-0.05902492084260422,0.6980003161419726
